area,equivalent_diameter,d_eq_px,d_eq_mm
3146.0,63.28990130926751,63.28990130926751,1069.0861707646538
3618.0,67.87179585698185,67.87179585698185,1146.4830381246934
3512.0,66.8701523933503,66.8701523933503,1129.563385022809
2532.0,56.77889156429026,56.77889156429026,959.1028980454436
2711.0,58.751616197148365,58.751616197148365,992.4259492761548
3596.0,67.66512693306387,67.66512693306387,1142.9920090044573
2844.0,60.17552048156129,60.17552048156129,1016.4783865128596
3843.0,69.95040793603158,69.95040793603158,1181.5947286491821
2486.0,56.260763487635096,56.260763487635096,950.3507345884307
10209.0,114.0109754023764,114.0109754023764,1925.8610709860877
7071.0,94.88454468891304,94.88454468891304,1602.779471096504
3204.0,63.87064663310887,63.87064663310887,1078.8960579917039
4387.0,74.73755336344078,74.73755336344078,1262.4586716797428
