time,Velocity_1,Velocity_2,Velocity_3,Velocity_4,Velocity_5,Velocity_6,Velocity_7,Velocity_8,Velocity_9,Velocity_10,Velocity_11,Velocity_12,Velocity_13,Velocity_14,Velocity_15,Velocity_16,Velocity_17,Velocity_18,Velocity_19,Velocity_20,Velocity_21,Velocity_22,Velocity_23,Velocity_24,Velocity_25
2.80E-01,2.563617572,2.448327873,2.4,3.121733659,2.4,3.367754733,2.4,2.4,2.908222524,2.4,3.371949986,2.4,2.4,1.857210154,2.4,1.575838874,2.4,2.255222182,2.4,2.998434807,2.463695064,2.377334523,2.4,2.98926801,1.556274802
2.90E-01,2.47,2.47,2.172228042,3.309987996,1.524852648,2.47,2.544451766,2.203231356,2.087180807,1.852829041,2.112729379,1.995750807,2.482112594,3.385778861,1.585355616,3.103697116,1.629202892,3.09504464,2.387763085,2.496534385,2.47,2.030085767,2.017769299,1.607991349,2.677385398
3.00E-01,2.54,2.140445448,2.913571948,2.54,2.701124942,2.54,2.686622285,1.700667838,3.351110226,2.54,2.802383831,2.978257929,2.54,2.54,2.557285365,3.22723682,2.54,2.54,2.904451423,2.54,2.54,2.653283094,3.169250116,2.54,2.54
3.10E-01,1.717662716,2.61,1.610616208,2.61,2.61,2.367959357,2.61,3.05696235,2.638016787,2.715797762,2.61,2.760617791,1.778076311,2.802889604,2.61,2.098231834,2.043313764,2.61,3.038810836,2.950360897,3.600178923,3.360855024,3.019392529,2.128143857,2.779378024
3.20E-01,3.401874296,2.894182987,3.278038874,2.335289044,2.909042424,2.69,2.344542851,3.196814483,2.98830495,2.69,2.69,2.69,3.531436026,1.953805927,1.762429882,2.69,3.223472985,1.782754772,1.895184592,2.245597985,2.69,2.69,2.69,2.297937107,2.080035859
3.30E-01,2.74,2.76,2.76,3.61482168,2.459224171,1.763537038,1.910419733,2.76,1.95,2.30967976,2.76,3.141053229,3.195425941,2.941482217,1.901586104,3.61199153,1.881408263,3.288082796,3.192364953,3.658579406,2.76,2.896853307,2.76,3.233565648,2.76
3.40E-01,1.63666728,2.302045145,2.83,2.83,2.83,1.885607892,2.168297184,2.754061288,2.450375024,2.156680213,2.83,2.83,2.515710102,2.83,2.574257661,1.907411273,3.608767004,3.448279341,2.83,3.784027231,3.119727695,2.83,2.251512217,2.83,2.83
3.50E-01,2.73,2.071211131,2.674057817,2.226865394,2,2.991166959,2.61,3.870696439,3.229583263,2.328497602,2.9,2.9,3.008246014,2.9,3.417442291,1.779387869,2.756361483,3.818185165,3.514120163,1.46,2.9,2.9,2.160714886,2.450267753,2.808079013
3.60E-01,2.269901528,3.672907171,2.97,3.09743808,3.310739418,2.97,1.815663676,2.97,2.387537105,2.907680551,2.97,2.97,3.373293224,3.382833993,2.97,3.40295128,2.06432037,2.702768204,2.321396053,2.522376137,2.651627731,2.97,3.420349524,2.43,3.276999422
3.70E-01,3.39750964,4.039832056,3.03,2.907903673,2.8,3.03,1.482679473,2.529312992,3.186536001,1.99787977,4.015013268,3.432666695,2.267624451,1.992509004,3.020091839,2.8,3.05640875,2.879831123,2.610746282,2.009730589,3.03,2.004840084,3.03,2.54,3.517825849
3.80E-01,2.885138892,3.92,2.66,3.246620901,3.040173377,3.944386353,2.38,2.85,1.53646915,2.25,3.92546001,3.1,2.919432271,2.83,2.98721098,2.73,3.608728175,3.755035426,2.818893483,2.668932034,3.87932955,3.537820317,2.631639245,2.09303985,3.1
3.90E-01,3.302360122,3.541778262,3.486044583,1.743074801,2.35,2.85363227,2.31,2.81,2.3,1.709394311,3.17,3.429775332,3.17,3.7908434,3.17,2.67,4.094214628,3.114224058,2.352269091,3.12,2.26,2.68,1.04357346,2.46,2.775703041
4.00E-01,2.195195928,3.42,2.232741755,1.416950423,1.366054915,2.52,2.29,2.664190503,2.37,2.5,3.65868644,3.413789849,2.517775216,2.043462964,3.23,2.61,3.23,2.692644827,4.148666539,2.150493541,2.954532489,2.75,1.881173347,2.43,3.23
4.10E-01,2.036115234,2.227058045,2.70326231,2.316004508,2.36,1.659238888,2.29,2.684332009,3.847753847,2.5140286,3.430544681,2.446048424,3.3,2.89,4.128986253,2.55,3.220143734,3.57,3.3,1.08294256,2.98,2.573696181,1.940907884,2.4,2.504581253
4.20E-01,1.832321827,1.651981217,2.384775024,2.984827405,3.788732218,3.124675149,1.636329005,2.70337362,4.090466974,2.039770305,3.36,2.44,3.36,2.135662494,3.704374148,2.476248862,3.36,2.956041221,3.36,1.325353045,2.725702679,3.43992847,1.967107766,2.816085944,2.558094589
4.30E-01,2.2,1.072608271,2.391618471,1.594793261,3.036752583,2.8,2.18,3.172799483,4.232438091,2.6,3.43,1.848692057,3.520705772,2.503532571,3.43,2.44,3.43,2.73,3.24,1.252700715,2.387250115,2.96,2.77,2.36,2.293601106
4.40E-01,1.738718023,1.67,2.877578528,2.65,2.99,3.453051973,2.13,2.507761074,3.156280408,3.756339884,3.49,2.663476964,2.98061472,2.242130419,1.274090471,3.33,3.069048869,2.74,3.047884952,2.075381712,3.369880752,3.88276058,3.336725609,2.35,2.8
4.50E-01,2.779154823,1.98,2.137753904,1.593745262,2.700055526,2.93,2.1,2.95,3.8,3.516167897,3.55,3.546702706,3.47,3.529145618,3.870126493,4.09,3.756915221,2.75,2.787483688,2.01,2.506701093,2.534747088,2.77,3.048394852,2.78
4.60E-01,2.07,1.96,2.83,3.540276161,2.453602522,3,1.648201157,2.441179873,2.712014841,3.814369542,2.629503359,2.343529286,3.48,2.71,2.907406725,4.479295839,4.012768707,3.36,3.137247028,2.03,2.53,3.16,4.000778814,3.155622835,3.682551771
4.70E-01,2.03,2.133733674,3.146802342,2.66560833,3.023896575,2.72066144,2.231593516,2.8,4.231555571,3.22,3.929553815,2.737936776,3.5,2.69,2.753150895,3.93,2.799212474,3.091955419,2.467663355,1.998538777,1.980327433,3.275506337,3.89,1.987998573,2.841505756
4.80E-01,1.288793719,2.628361822,3.364973877,3.357422216,2.872324114,1.831484251,2.669555364,3.777286649,2.480702279,2.727686301,3.037890056,2.39,3.665502798,2.66,3.19,2.530752107,4.468997838,4.39,3.553302226,2.78950007,1.748233471,3.673633022,4.307713134,2.206457106,3.228037813
4.90E-01,3.041661509,2.565212991,2.665983503,1.809862006,3.212725469,2.276901911,2.925009781,2.438422809,3.679704419,3.220876982,3.8,2.42,2.627203506,2.879890813,2.871325298,2.630609988,4.497081929,3.949053783,3.010882232,3.680756553,2.974593317,1.355105427,3.86,0.791253497,2.74
5.00E-01,2.75,2.38,2.69484065,2.49,3.604753383,2.411641804,1.537186645,2.419236128,2.008550428,4.201592551,3.855300391,2.838997007,3.57,2.198351822,3.238383212,2.464629653,4.383027996,4.698321944,2.294179703,2.88,2.908644932,2.551581466,3.365297403,2.038874181,2.74
5.10E-01,2.657966417,1.787675255,3.637681838,2.753088765,3.931963361,2.4,1.087641957,3.144900732,2.23,3.944643138,3.206821963,2.807441011,3.26901141,2.62,3.04,3.490083575,3.196341048,3.851627931,3.296135277,3.669141375,2.202664387,2.577610225,3.316905876,2.201952756,2.74
5.20E-01,2.74,2.41,2.838776835,2.749889592,3.34,2.48,2.516196424,2.051828061,2.83976418,3.198111673,4.529352828,2.56,3.62,2.62,2.787215132,3.160836723,3.98,4.39,2.741674752,2.9,1.330403361,2.209124454,3.89,1.75,2.728475411
