area,equivalent_diameter,d_eq_px
246.0,17.697935698969246,17.697935698969246
70.0,9.440697438826296,9.440697438826296
116.0,12.153015559492998,12.153015559492998
202.0,16.03728119216293,16.03728119216293
124.0,12.565098628628435,12.565098628628435
152.0,13.911592676604096,13.911592676604096
382.0,22.05396803500069,22.05396803500069
386.0,22.16913314200113,22.16913314200113
142.0,13.446189622059965,13.446189622059965
160.0,14.27299292922217,14.27299292922217
219.0,16.698486766680407,16.698486766680407
156.0,14.093451279891855,14.093451279891855
244.0,17.625846048215095,17.625846048215095
222.0,16.812470934731934,16.812470934731934
113.0,11.994835078277376,11.994835078277376
234.0,17.26088217525478,17.26088217525478
74.0,9.706684619910241,9.706684619910241
166.0,14.538148590038452,14.538148590038452
109.0,11.780624362746345,11.780624362746345
215.0,16.545286401814263,16.545286401814263
189.0,15.512648837479231,15.512648837479231
299.0,19.511499785403828,19.511499785403828
193.0,15.67594437773643,15.67594437773643
813.0,32.173649930800316,32.173649930800316
54.0,8.291859587312052,8.291859587312052
564.0,26.797520467958073,26.797520467958073
372.0,21.76338922689847,21.76338922689847
241.0,17.517155313611116,17.517155313611116
1199.0,39.07191080734931,39.07191080734931
374.0,21.821814538001895,21.821814538001895
686.0,29.554057719513263,29.554057719513263
88.0,10.585134856802455,10.585134856802455
150.0,13.81976597885342,13.81976597885342
285.0,19.04923279949934,19.04923279949934
371.0,21.73411767467788,21.73411767467788
62.0,8.884866446580956,8.884866446580956
239.0,17.44431859350499,17.44431859350499
118.0,12.257335203001883,12.257335203001883
74.0,9.706684619910241,9.706684619910241
259.0,18.159544104586082,18.159544104586082
98.0,11.170383851240114,11.170383851240114
193.0,15.67594437773643,15.67594437773643
453.0,24.016192740836935,24.016192740836935
260.0,18.19456736586892,18.19456736586892
311.0,19.899183360445615,19.899183360445615
138.0,13.255453865237978,13.255453865237978
189.0,15.512648837479231,15.512648837479231
68.0,9.304852983362556,9.304852983362556
135.0,13.110581167104948,13.110581167104948
232.0,17.186959427966244,17.186959427966244
181.0,15.180789096653193,15.180789096653193
132.0,12.964089628857149,12.964089628857149
660.0,28.988585676524604,28.988585676524604
190.0,15.553633450087505,15.553633450087505
42.0,7.312732791431452,7.312732791431452
162.0,14.361922094451577,14.361922094451577
156.0,14.093451279891855,14.093451279891855
297.0,19.44613444328572,19.44613444328572
118.0,12.257335203001883,12.257335203001883
332.0,20.56004690782767,20.56004690782767
106.0,11.617374563210365,11.617374563210365
95.0,10.998079684646791,10.998079684646791
114.0,12.047792665040703,12.047792665040703
93.0,10.881694613449236,10.881694613449236
173.0,14.841510746523857,14.841510746523857
182.0,15.222667215103916,15.222667215103916
195.0,15.756957549709801,15.756957549709801
